#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,created_at
217,846976,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Puhangu tn 87",Tallinn,Puhangu tn 87,,4,107,221900,2083.57,https://kinnisvara24.ee/korter-muuk-tallinn/240846976,https://src.kv24.ee/uploads/a1/images/15ac22dd-5dd0-4e8f-b91c-5b4319d5b3ed.jpg,2024-03-18T18:25:04.000000+02:00
218,817409,"Harju maakond, Tallinn, Kesklinna linnaosa, Paldiski mnt 9",Tallinn,Paldiski mnt 9,,2,55,240000,4371.58,https://kinnisvara24.ee/korter-muuk-tallinn/240817409,https://src.kv24.ee/uploads/a1/images/80d3470c-7315-4250-95f0-423bbd48ddc9.jpg,2024-10-28T13:52:21.000000+02:00
219,831910,"Katusepapi tn 7/2, Lasnamäe",Tallinn,Katusepapi tn 7/2,,1,18,59000,3259.67,https://kinnisvara24.ee/korter-muuk-tallinn/240831910,https://src.kv24.ee/uploads/a1/images/dc95da38-7d05-44a5-8e1e-b7d65b44aa98.jpg,2025-01-27T16:45:49.000000+02:00
220,831852,"Heli tn 3/1, Kadaka, Mustamäe",Tallinn,Heli tn 3/1,,1,34,144000,4247.79,https://kinnisvara24.ee/korter-muuk-tallinn/240831852,https://src.kv24.ee/uploads/a1/images/8d1bd824-fa50-4029-8a96-663bb4608743.jpg,2025-01-27T12:35:20.000000+02:00
221,831596,"Saku tn 2a-145, Kitseküla, Kesklinn",Tallinn,Saku tn 2a,145,3,77,299000,3878.08,https://kinnisvara24.ee/korter-muuk-tallinn/240831596,https://src.kv24.ee/uploads/a1/images/03e0f48b-7719-49f4-8a37-258b8abf4b53.jpg,2025-01-24T16:46:36.000000+02:00
222,831267,"Tuvi tn 12/2, Kesklinna linnaosa, Tallinn, Harju maakond",Tallinn,Tuvi tn 12/2,,4,110,479000,4370.44,https://kinnisvara24.ee/korter-muuk-tallinn/240831267,https://src.kv24.ee/uploads/a1/images/ca23a1ca-7b6a-437f-97c9-e7724ab04f44.jpg,2025-01-22T15:56:04.000000+02:00
223,830787,"Kalaranna tn 8/3, Kalamaja, Põhja-Tallinn",Tallinn,Kalaranna tn 8/3,,3,76,460000,6068.6,https://kinnisvara24.ee/korter-muuk-tallinn/240830787,https://src.kv24.ee/uploads/a1/images/c585e8cb-6f07-4336-ae2c-9085168460a2.jpg,2025-01-20T12:15:15.000000+02:00
224,830424,"Rabaveere tn 3/1, Nõmme",Tallinn,Rabaveere tn 3/1,,4,127,698500,5500,https://kinnisvara24.ee/korter-muuk-tallinn/240830424,https://src.kv24.ee/uploads/a1/images/ed3ef5fc-7d08-4455-8608-c3543b46a935.jpg,2025-01-17T11:25:42.000000+02:00
225,830421,"Rabaveere tn 3/1, Nõmme",Tallinn,Rabaveere tn 3/1,,2,65,341850,5300,https://kinnisvara24.ee/korter-muuk-tallinn/240830421,https://src.kv24.ee/uploads/a1/images/009edb92-84f7-487b-8ccb-4aff1b38ea50.jpg,2025-01-17T11:25:40.000000+02:00
226,830422,"Rabaveere tn 3/1, Nõmme",Tallinn,Rabaveere tn 3/1,,4,98,499290,5100,https://kinnisvara24.ee/korter-muuk-tallinn/240830422,https://src.kv24.ee/uploads/a1/images/c56805ac-7da4-4a44-8aae-8a4fc15a7500.jpg,2025-01-17T11:25:40.000000+02:00
