#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude,map_link
1,8932270,"Tallinn, Lasnamäe linnaosa, K. Kärberi tn-34",Tallinn,K. Kärberi tn 34,,3,56,148000,2642,https://www.city24.ee/ru/real-estate/skip/skip/8932270,https://c24ee.img-bcg.eu/object/24/2050/2v919582050.jpg,Müüa avar ja valge korter Lasnämäel!,2025-06-21T20:24:23+03:00,2,,1995,59.445384,24.887239,"https://www.google.com/maps/dir//59.445384,24.887239/@59.445384,24.887239,15z/data=!4m2!4m1!3e0?entry=ttu"
2,1548771,"Tallinn, Haabersti linnaosa, Õismäe tee-94",Tallinn,Õismäe tee 94,,3,65.7,127000,1933,https://www.city24.ee/ru/real-estate/skip/skip/1548771,https://c24ee.img-bcg.eu/object/24/8758/2v27628758.jpg,,2025-06-21T14:15:48+03:00,1,9,1988,59.416131,24.640819,"https://www.google.com/maps/dir//59.416131,24.640819/@59.416131,24.640819,15z/data=!4m2!4m1!3e0?entry=ttu"
3,5079330,"Tallinn, Lasnamäe linnaosa, Mahtra tn-4",Tallinn,Mahtra tn 4,,3,64.9,125000,1926,https://www.city24.ee/ru/real-estate/skip/skip/5079330,https://c24ee.img-bcg.eu/object/24/0459/2v1562220459.jpg,,2025-06-21T12:45:30+03:00,5,9,1982,59.44219,24.870869,"https://www.google.com/maps/dir//59.44219,24.870869/@59.44219,24.870869,15z/data=!4m2!4m1!3e0?entry=ttu"
4,8663097,"Tallinn, Põhja-Tallinna linnaosa, Luste tn-None",Tallinn,Luste tn-None,,2,46.2,162000,3506,https://www.city24.ee/ru/real-estate/skip/skip/8663097,https://c24ee.img-bcg.eu/object/24/5538/2v2866175538.jpg,,2025-06-20T18:05:30+03:00,2,2,1960,59.446298,24.711527,"https://www.google.com/maps/dir//59.446298,24.711527/@59.446298,24.711527,15z/data=!4m2!4m1!3e0?entry=ttu"
5,4084798,"Tallinn, Lasnamäe linnaosa, Linnamäe tee-81",Tallinn,Linnamäe tee 81,,3,65.9,114900,1743,https://www.city24.ee/ru/real-estate/skip/skip/4084798,https://c24ee.img-bcg.eu/object/24/2862/2v2344992862.jpg,,2025-06-20T09:20:34+03:00,9,9,1998,59.449503,24.88345,"https://www.google.com/maps/dir//59.449503,24.88345/@59.449503,24.88345,15z/data=!4m2!4m1!3e0?entry=ttu"
6,4275548,"Tallinn, Lasnamäe linnaosa, Kalevipoja põik-17",Tallinn,Kalevipoja põik 17,,3,65,117000,1800,https://www.city24.ee/ru/real-estate/skip/skip/4275548,https://c24ee.img-bcg.eu/object/24/3630/2v2622243630.jpg,,2025-06-20T09:20:17+03:00,1,9,1979,59.4384678,24.8314869,"https://www.google.com/maps/dir//59.4384678,24.8314869/@59.4384678,24.8314869,15z/data=!4m2!4m1!3e0?entry=ttu"
7,2983383,"Tallinn, Mustamäe linnaosa, Retke tee-30",Tallinn,Retke tee 30,,2,44.3,112000,2528,https://www.city24.ee/ru/real-estate/skip/skip/2983383,https://c24ee.img-bcg.eu/object/24/2080/2v1073782080.jpg,,2025-06-20T09:15:53+03:00,4,9,1988,59.399075,24.704137,"https://www.google.com/maps/dir//59.399075,24.704137/@59.399075,24.704137,15z/data=!4m2!4m1!3e0?entry=ttu"
8,7830156,"Tallinn, Haabersti linnaosa, Õismäe tee-118",Tallinn,Õismäe tee 118,,2,49.3,105000,2129,https://www.city24.ee/ru/real-estate/skip/skip/7830156,https://c24ee.img-bcg.eu/object/24/0738/2v604470738.jpg,,2025-06-20T09:14:40+03:00,7,9,1976,59.419128,24.644821,"https://www.google.com/maps/dir//59.419128,24.644821/@59.419128,24.644821,15z/data=!4m2!4m1!3e0?entry=ttu"
9,4101089,"Tallinn, Kesklinna linnaosa, Virmalise tn-24",Tallinn,Virmalise tn 24,,2,74.9,239000,3190,https://www.city24.ee/ru/real-estate/skip/skip/4101089,https://c24ee.img-bcg.eu/object/24/2672/2v600822672.jpg,Avar 2-toaline Uue-Maailma asumis!,2025-06-19T18:02:16+03:00,2,4,1958,59.4234165,24.7383303,"https://www.google.com/maps/dir//59.4234165,24.7383303/@59.4234165,24.7383303,15z/data=!4m2!4m1!3e0?entry=ttu"
10,8856061,"Tallinn, Põhja-Tallinna linnaosa, Kalma tn-None",Tallinn,Kalma tn-None,,2,41.6,265000,6370,https://www.city24.ee/ru/real-estate/skip/skip/8856061,https://c24ee.img-bcg.eu/object/24/5288/2v1720455288.jpg,Rõduga korter uues majas Kalamaja südames!,2025-06-19T13:45:05+03:00,2,4,2025,59.4435581,24.7359363,"https://www.google.com/maps/dir//59.4435581,24.7359363/@59.4435581,24.7359363,15z/data=!4m2!4m1!3e0?entry=ttu"
