#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude
1641,5579173,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,3,66,255900,3877,https://www.city24.ee/ru/real-estate/skip/skip/5579173,https://c24ee.img-bcg.eu/object/24/0166/2v2645040166.jpg,,2025-05-23T18:16:28+03:00,3,3,2026,59.43781,24.5720039
1642,6147568,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,86.7,299900,3459,https://www.city24.ee/ru/real-estate/skip/skip/6147568,https://c24ee.img-bcg.eu/object/24/0615/2v1433800615.jpg,,2025-05-23T18:16:24+03:00,2,2,2026,59.43781,24.5720039
1643,6191751,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,115.2,414900,3601,https://www.city24.ee/ru/real-estate/skip/skip/6191751,https://c24ee.img-bcg.eu/object/24/3477/2v2788313477.jpg,,2025-05-23T18:16:20+03:00,1,2,2026,59.43781,24.5720039
1644,3438518,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,2,57.3,219900,3837,https://www.city24.ee/ru/real-estate/skip/skip/3438518,https://c24ee.img-bcg.eu/object/24/9040/2v2834359040.jpg,,2025-05-23T18:16:16+03:00,3,3,2026,59.43781,24.5720039
1645,7749556,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,115.2,414900,3601,https://www.city24.ee/ru/real-estate/skip/skip/7749556,https://c24ee.img-bcg.eu/object/24/4957/2v3610034957.jpg,,2025-05-23T18:16:12+03:00,1,2,2026,59.43781,24.5720039
1646,1790805,"Tallinn, Põhja-Tallinna linnaosa, Lõime tn-20",Tallinn,Lõime tn 20,,11,146,119000,815,https://www.city24.ee/ru/real-estate/skip/skip/1790805,https://c24ee.img-bcg.eu/object/24/4243/2v3401694243.jpg,,2025-05-23T18:07:44+03:00,-1,4,1952,59.4515,24.688821
1647,9149079,"Tallinn, Lasnamäe linnaosa, Vikerlase tn-5",Tallinn,Vikerlase tn 5,,3,52.5,114900,2188,https://www.city24.ee/ru/real-estate/skip/skip/9149079,https://c24ee.img-bcg.eu/object/24/8143/2v1279248143.jpg,,2025-05-23T18:06:37+03:00,5,5,1972,59.437385,24.835217
1648,3305017,"Tallinn, Lasnamäe linnaosa, Paepargi tn-39",Tallinn,Paepargi tn 39,,4,141.3,499000,3531,https://www.city24.ee/ru/real-estate/skip/skip/3305017,https://c24ee.img-bcg.eu/object/24/1030/2v2238561030.jpg,,2025-05-23T18:03:21+03:00,7,7,2019,59.433676,24.808059
1649,4506228,"Tallinn, Haabersti linnaosa, Päevalille tn-8",Tallinn,Päevalille tn 8,,3,77.7,409000,5263,https://www.city24.ee/ru/real-estate/skip/skip/4506228,https://c24ee.img-bcg.eu/object/24/8786/2v3293568786.jpg,,2025-05-23T17:00:55+03:00,18,18,2023,59.4226221,24.6463305
1650,1608559,"Tallinn, Haabersti linnaosa, Tagala tn-10",Tallinn,Tagala tn 10,,3,71,229999,3239,https://www.city24.ee/ru/real-estate/skip/skip/1608559,https://c24ee.img-bcg.eu/object/24/4222/2v559664222.jpg,Kohe saadaval! Panipaik ja parkimiskoht hinna sees,2025-05-23T16:11:38+03:00,2,4,2020,59.403075,24.617195
1651,3467324,"Tallinn, Mustamäe linnaosa, Mustamäe tee-106",Tallinn,Mustamäe tee 106,,2,42.9,107000,2494,https://www.city24.ee/ru/real-estate/skip/skip/3467324,https://c24ee.img-bcg.eu/object/24/0353/2v3761160353.jpg,"HUBANE,2-TOALINE KORTER MUSTAMÄEL!",2025-05-23T16:04:41+03:00,1,5,1972,59.405837,24.681563
1652,2564885,"Tallinn, Põhja-Tallinna linnaosa, Kalaranna tn-8/3",Tallinn,Kalaranna tn 8,3,3,75.8,460000,6068,https://www.city24.ee/ru/real-estate/skip/skip/2564885,https://c24ee.img-bcg.eu/object/24/8849/2v3751418849.jpg,,2025-05-23T16:03:59+03:00,3,5,2021,59.447029,24.746552
1653,1762082,"Tallinn, Kesklinna linnaosa, Toom-Kuninga tn-24/1",Tallinn,Toom-Kuninga tn 24,1,1,32.6,125000,3834,https://www.city24.ee/ru/real-estate/skip/skip/1762082,https://c24ee.img-bcg.eu/object/24/2334/2v4180142334.jpg,,2025-05-23T14:21:53+03:00,1,2,1936,59.4272022,24.7357139
1654,2642837,"Tallinn, Haabersti linnaosa, Merirahu tn-4",Tallinn,Merirahu tn 4,,2,54.8,189900,3465,https://www.city24.ee/ru/real-estate/skip/skip/2642837,https://c24ee.img-bcg.eu/object/24/6292/2v327996292.jpg,,2025-05-23T14:20:57+03:00,2,3,2007,59.4413145,24.6225948
1655,2346633,"Tallinn, Haabersti linnaosa, Vabaõhumuuseumi tee-4a",Tallinn,Vabaõhumuuseumi tee 4a,,3,89,244900,2751,https://www.city24.ee/ru/real-estate/skip/skip/2346633,https://c24ee.img-bcg.eu/object/24/1794/2v2759751794.jpg,3-TOALINE KODU MERE ÄÄRES - AVAR JA HUBANE!,2025-05-23T14:11:46+03:00,2,4,2003,59.428586,24.660046
